Community_Statistical_Areas
Belair-Edison
Brooklyn/Curtis Bay/Hawkins Point
Cedonia/Frankford
Clifton-Berea
Glen-Fallstaff
Greater Mondawmin
Greater Rosemont
Greenmount East
Lauraville
Madison/East End
Midway/Coldstream
Penn North/Reservoir Hill
Pimlico/Arlington/Hilltop
Poppleton/The Terraces/Hollins Market
Sandtown-Winchester/Harlem Park
Southern Park Heights
Southwest Baltimore
Upton/Druid Heights
Washington Village/Pigtown
